Tsys	OutW	OutK	In1	In2	In3	In4	In5
253650.131843	-4.72122553977	1.68826420193	-90	5106.61541641	42.1316157657	42.1411992492	1.63036158888E-5
257249.997173	-4.86802260509	1.68827821408	-90	5106.65521181	42.2329007534	42.2370871293	3.21420422291E-5
260849.803501	-4.87886147373	1.68828350515	-90	5106.67431641	42.2711415636	42.2682087924	1.623146062E-13
264449.615246	-4.85577837686	1.68841918796	-90	5106.88134166	43.2519457007	43.3204423468	2.89440440496E-4
268049.374334	-4.71232052081	1.68875949597	-90	5107.94147683	45.711765495	45.7415192611	1.73253900254E-4
271649.249428	-4.90851362046	1.68889232768	-90	5108.4365501	46.6719227022	46.715468011	1.27328266056E-4
287848.634202	-4.91435047375	1.68883041365	-90	5108.64062544	47.0673970376	47.0524597312	8.38405281892E-9
295048.2367	-4.89785340317	1.68883041365	-90	5108.66600772	47.1090528539	47.1148552795	6.61451245452E-7
302247.830955	-4.86172413109	1.68883041365	-90	5108.66796875	47.1113743565	47.1051394362	-1.62697509275E-13
291448.434283	-4.86951412334	1.68883041365	-90	5108.66064453	47.1117038874	47.118901026	3.90440654572E-13
298648.048146	-4.89065011823	1.68883041365	-90	5108.66699219	47.1132006839	47.1227635108	1.29801799221E-13
305847.630341	-4.86331794725	1.68883041365	-90	5108.66699219	47.1187784262	47.1259027709	3.24332632033E-13
14310.2076213	-4.3646272637	1.68143678372	-87.5	5092.17468921	7.5683414179	7.60562377629	1.91711526867E-5
17910.1117751	-4.38080578661	1.68145766933	-87.5	5092.24948896	7.73235396275	7.76157697195	5.78653750121E-6
21510.0131062	-4.38409788695	1.68146607036	-87.5	5092.28537717	7.80280405775	7.82560105693	1.66606206274E-5
25109.9392411	-4.46872208404	1.68158166377	-87.5	5092.47667779	8.75061939811	8.83198459044	2.67778381439E-4
28709.8791074	-4.6277427565	1.6818921481	-87.5	5093.53880132	11.202397754	11.2583989472	2.50239880603E-4
32309.782535	-4.66510098088	1.68202528059	-87.5	5094.08492334	12.2349880191	12.2683791054	9.59601773068E-5
48448.9956711	-4.85895808373	1.68205541228	-87.5	5094.30297887	12.5863106882	12.6144441269	3.72273792403E-14
52048.9340071	-5.02929967562	1.68194366591	-87.5	5094.33637264	12.6690707928	12.7000311824	2.70824326411E-6
55648.8215578	-5.0163752287	1.68194789122	-87.5	5094.35546949	12.7102783036	12.7411961737	4.31526061144E-14
59248.7056582	-5.01359969718	1.68195321701	-87.5	5094.36364602	12.7342760783	12.7537107063	8.70861667411E-6
62848.6744583	-5.2701852586	1.68220253564	-87.5	5094.90211869	14.6195981136	14.6912264732	3.3064586481E-4
66448.4186751	-4.85145336322	1.68246829727	-87.5	5095.83942801	16.5546094185	16.5897178391	1.55352610651E-4
82647.3822011	-5.0274924925	1.68251808371	-87.5	5096.38342646	17.5475422889	17.5700931402	8.99581903758E-6
86247.2028246	-4.89643026538	1.682477572	-87.5	5096.41646762	17.6244086061	17.648817318	4.45213723451E-6
89847.0769794	-4.89001030136	1.68247922108	-87.5	5096.43359375	17.6440813487	17.6702968705	9.79771819232E-14
93446.9498141	-4.88953196017	1.68248183958	-87.5	5096.4375	17.6593170391	17.6851249155	-1.36818323806E-13
97046.8010656	-4.84488368302	1.68271104774	-87.5	5096.83813583	19.2073280112	19.2976550659	3.33767333778E-4
100646.583492	-4.56142317373	1.68304521614	-87.5	5097.84840324	21.3743601915	21.418032553	2.13717389492E-4
116846.220809	-4.82025863814	1.68313422317	-87.5	5098.47827158	22.545077551	22.5574625466	-1.82901243643E-13
120446.081619	-4.81146260715	1.68313351684	-87.5	5098.5078125	22.6071791116	22.6381334824	1.00828161798E-13
124045.945971	-4.81696708409	1.68313713603	-87.5	5098.52075205	22.6335660724	22.6543849157	6.1197775365E-14
127645.83052	-4.88501087257	1.68326453037	-87.5	5098.69296505	23.518540626	23.5936337601	2.66343624855E-4
131245.781475	-5.19657059544	1.68364271908	-87.5	5099.76938628	26.0372031295	26.0934919385	2.4091108644E-4
134845.57738	-5.04931504444	1.68380428083	-87.5	5100.31910976	27.099331781	27.1335669822	1.01822007779E-4
151044.581353	-5.05571668006	1.68377554597	-87.5	5100.55712891	27.5154461296	27.5366512204	8.82072193065E-14
154644.42936	-5.05333914838	1.68378169828	-87.5	5100.57690466	27.5654102424	27.570951215	-3.55117134281E-9
158244.277844	-5.05171508595	1.68378541192	-87.5	5100.58813527	27.5881582559	27.6104867404	1.94616609044E-13
161844.118958	-5.055730576	1.68391896002	-87.5	5100.77138396	28.5087428906	28.5732869338	2.57879113005E-4
165443.927025	-4.94949734057	1.6842991574	-87.5	5101.84169065	30.993906921	31.0727410985	2.3937728086E-4
169043.807877	-5.1181753412	1.68446427671	-87.5	5102.38677582	32.0701979399	32.0724557143	9.52709240133E-5
185303.073533	-4.9150087463	1.68437144237	-87.5	5102.61523497	32.4731493905	32.4827338066	-1.41684272985E-14
188902.896679	-4.90578871568	1.68437866882	-87.5	5102.64428413	32.5373617784	32.5466203443	2.48758067745E-6
192502.739966	-4.89636178513	1.68438340464	-87.5	5102.65892541	32.5678643347	32.5791974385	3.16344993033E-7
196102.569237	-4.8850943242	1.68451655349	-87.5	5102.89423791	33.6353525197	33.7104997309	2.91451319126E-4
199702.397167	-4.9068451527	1.68482150755	-87.5	5103.92282849	35.962802949	36.000559746	1.84895051994E-4
203302.286356	-5.07812546702	1.68494425521	-87.5	5104.40190308	36.8970517626	36.8943280529	7.61364204892E-5
219501.289452	-5.23892023212	1.68505679747	-87.5	5104.5629286	37.1838063636	37.2034653722	6.80364300234E-6
223101.116058	-5.24223542748	1.68506872753	-87.5	5104.61843687	37.3070400234	37.3108668441	1.71489003668E-5
226700.925687	-5.235985057	1.68507534078	-87.5	5104.6461252	37.3629485396	37.3813943884	8.72099829757E-6
230300.673154	-4.9852745177	1.68517923592	-87.5	5104.87402209	38.3973551894	38.4743737643	2.76503869186E-4
233900.599532	-5.2943089466	1.68543231855	-87.5	5105.91914852	40.7800939562	40.8186412609	2.29364349405E-4
237500.29592	-4.91554276554	1.68553513705	-87.5	5106.41028814	41.7481330708	41.7660543165	6.25667873199E-5
253700.135593	-4.72823939616	1.68564633045	-87.5	5106.61606941	42.1356334059	42.1371018676	2.5193082779E-5
257300.006584	-4.89877497157	1.68565929721	-87.5	5106.6555842	42.2336104781	42.2372324304	2.31552072322E-5
260899.819862	-4.89021221108	1.68566419354	-87.5	5106.67431641	42.2663705538	42.2691847821	1.623146062E-13
264499.613749	-4.87467522218	1.68578975362	-87.5	5106.89555456	43.2880933902	43.3614239639	3.01878046159E-4
268099.394598	-4.76756981828	1.68610467268	-87.5	5107.9520459	45.7294097649	45.763249856	1.92743655191E-4
271699.284137	-5.0127962031	1.68622759436	-87.5	5108.44057892	46.6773554706	46.7127458748	9.21372558244E-5
287898.657535	-4.99060972088	1.68610664043	-87.5	5108.64103525	47.059663572	47.0496984346	7.82725505897E-6
295098.263743	-4.96683739885	1.68610664043	-87.5	5108.66601168	47.1106828075	47.1119316364	3.3036040355E-7
291498.45499	-4.96256243926	1.68610664043	-87.5	5108.66064453	47.1115328395	47.1175202309	2.2814014462E-14
298698.060896	-4.9360147307	1.68610664043	-87.5	5108.66699219	47.1149330173	47.1193584293	9.89250960849E-14
302297.853336	-4.93037729482	1.68610664043	-87.5	5108.66796875	47.1163438179	47.1105696036	7.16783906897E-15
305897.660624	-4.92614361591	1.68610664043	-87.5	5108.66699219	47.1202845896	47.1193961603	8.81027787573E-14
14360.207896	-4.35716730185	1.67878512191	-85	5092.1748955	7.56811943518	7.60785981365	1.06395536621E-5
17960.1097927	-4.36653015567	1.67880892173	-85	5092.25046833	7.73077977092	7.76813166504	8.46060171875E-6
21560.0088555	-4.37121666358	1.67881849498	-85	5092.28559868	7.80517556293	7.82675577741	3.33654002057E-5
25159.9393771	-4.47052547075	1.67895021739	-85	5092.48919973	8.78567027227	8.87228533823	2.74597238757E-4
28759.8889738	-4.65094397359	1.67930402425	-85	5093.55022223	11.2309373428	11.2846074547	2.56420356781E-4
32359.7958095	-4.70086025599	1.679455733	-85	5094.08877084	12.2420156245	12.2726421496	8.70256347912E-5
48499.0026868	-4.8823544172	1.67940278179	-85	5094.30371121	12.598989241	12.6118848834	6.10834835228E-9
52098.9396049	-5.03671498054	1.67924197116	-85	5094.33691406	12.6670224035	12.7031610167	1.11953887726E-13
55698.8237717	-5.02178201557	1.67924882166	-85	5094.35595741	12.718196749	12.734101257	1.14545332022E-9
59298.7053725	-5.01629407869	1.67924998973	-85	5094.36376953	12.7269416085	12.7569476326	1.15463194561E-14
62898.6907709	-5.32375228452	1.67950824852	-85	5094.91846767	14.6570985508	14.7270580325	3.47937612214E-4
66498.4239612	-4.86947838032	1.67976362918	-85	5095.84753707	16.5655544999	16.5987199657	1.59538555097E-4
82697.3823645	-4.99904136394	1.6797639918	-85	5096.38403083	17.5527119793	17.5577178523	1.74257013589E-5
86297.2066911	-4.91091259697	1.67974801742	-85	5096.41691919	17.6174878684	17.6487940867	8.89375175569E-6
89897.0822976	-4.90236200836	1.67975256092	-85	5096.43359382	17.6459944119	17.6556832816	6.46446604234E-9
93496.9535195	-4.89868168943	1.67975467875	-85	5096.43750016	17.6592834651	17.6805851543	5.9617066923E-9
97096.8162818	-4.90173217596	1.68000834298	-85	5096.85428592	19.2509537454	19.3315488811	3.39117973136E-4
100696.584664	-4.57517884844	1.68034398476	-85	5097.85807622	21.3918164729	21.439236606	2.00611480886E-4
116896.233921	-4.85594950079	1.68038430887	-85	5098.47851579	22.553403941	22.599344735	4.1442788818E-12
120496.089307	-4.83944644066	1.68039235652	-85	5098.50781292	22.6058170909	22.6424830748	2.30522965875E-9
124095.958514	-4.8489726663	1.68039674238	-85	5098.52099609	22.6343683593	22.6618683397	5.2714395373E-14
127695.84305	-4.92862996539	1.68053765924	-85	5098.70566091	23.55203394	23.6314689736	2.81462852778E-4
131295.793709	-5.23368478865	1.68092267877	-85	5099.78132653	26.0592056533	26.1052592614	2.57912268637E-4
134895.5857	-5.06050239014	1.68108292944	-85	5100.32373317	27.102655647	27.1556316768	9.27580215643E-5
151094.587779	-5.06578320098	1.68108778362	-85	5100.55712891	27.5037922624	27.5234624586	8.82126326759E-14
154694.432364	-5.07531660075	1.68104696568	-85	5100.57714866	27.5631916654	27.5719158441	1.74978058747E-8
158294.278192	-5.06122824916	1.68105021602	-85	5100.58837943	27.5842716099	27.624480686	2.99794402033E-13
161894.115124	-5.07218370375	1.68119866762	-85	5100.78439527	28.5468013538	28.6202909989	2.61615673508E-4
165493.943252	-4.98149285473	1.68157953607	-85	5101.85328426	31.01600394	31.0791134594	2.45760209408E-4
169093.81726	-5.1678859525	1.68174401133	-85	5102.39027413	32.0822710687	32.0829377552	9.73086314399E-5
185353.07403	-4.92844109262	1.68164335808	-85	5102.61572327	32.4684449957	32.4979761178	1.89891504515E-9
188952.903248	-4.91915607225	1.68165342364	-85	5102.64437432	32.5411926804	32.5529198732	3.4254486247E-6
192552.735608	-4.89486755083	1.68165681951	-85	5102.65915888	32.5657299586	32.5781016175	6.31623149202E-7
196152.566935	-4.89229313718	1.68181031649	-85	5102.90839586	33.6751169221	33.7486159788	2.9444765381E-4
199752.409745	-4.94749293512	1.68212940942	-85	5103.93328463	35.9811938606	36.0247916506	1.9888428018E-4
203352.293606	-5.12505226995	1.68225713386	-85	5104.40604523	36.9042782362	36.9065483734	6.5338419199E-5
219551.305682	-5.27447818101	1.68230028388	-85	5104.56384528	37.1762200885	37.1957603252	1.30980804294E-5
223151.122624	-5.26219242862	1.68231429078	-85	5104.61890919	37.3092120405	37.303116885	1.73821500148E-5
